序	店內碼	分類	書名	作者		2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3
217	0010774817	其他	2018唐綺陽星座運勢大解析	唐綺陽	12808																													3021	9531	256									
218	0010774819	其他	最低的水果摘完之後	顏擇雅	7738																													214	6131	1393									
219	0010776461	其他	一天一D	江坤俊	8273																													0	6144	2129									
220	0010777528	其他	王宏哲情緒桌遊書	王宏哲	16598																													0	5812	4321	5272	1193							
221	0010781263	其他	新制多益 NEW TOEIC 閱讀題庫解析	Hackers Academia	11677																															3520	5434	2723							
222	0010782227	生活旅遊	一休陪你一起愛瘦身2	李一休	9276																														1566	5853	1857								
223	0010782277	其他	New TOEIC多益新制黃金團隊5回全真試題＋詳解	洪鎮杰等	25837																															4649	5589	4806	7011	3782					
224	0010782501	文學小說	我輩中人	張曼娟	13332																														1230	8304	3798								
225	0010782941	商業理財	原則	瑞．達利歐	13487																														226	8581	4680								
226	0010783392	文學小說	天長地久	龍應台	11034																														0	7606	3428								
227	0010785114	文學小說	82年生的金智英	趙南柱	10927																																				701	5899	4327		
228	0010785484	文學小說	起源	丹．布朗	15597																														0	11113	4484								
229	0010785841	心理勵志	在顛沛流離的世界裡，你還有我啊	Peter Su	11345																															9656	1689								
230	0010787150	生活旅遊	沖繩彭大家族自助錦囊	彭國豪/郭聖馨	9037																														0	6595	2442								
231	0010789764	生活旅遊	一日三餐減醣料理	娜塔	43344																															3309	6102	6557	8021	7913	7604	3838			
232	0010790411	生活旅遊	流浪日記	浩子（謝炘昊）	7206																															891	5590	725							
233	0010790440	其他	你的孩子不是你的孩子	吳曉樂	10526																															210	8669	1647							
234	0010790443	商業理財	真確	漢斯．羅斯林等	19207																															1124	10773	4161	3149						
235	0010791121	商業理財	富爸爸，窮爸爸	羅勃特．T．清崎	3574																																								3574
236	0010796370	其他	21世紀的21堂課	哈拉瑞	14958																																4393	5750	4815						
237	0010796463	心理勵志	你，很好：	艾爾文	8055																																1851	4328	1876						
238	0010796942	生活旅遊	已經不是一個人	高木直子	7076																															0	4878	1647	551						
239	0010798028	文學小說	時時刻刻	張西	7499																															0	7499	0							
240	0010801604	其他	怪奇事物所	怪奇事物所所長	11317																																0	8000	3317						
241	0010802189	其他	病從排寒解	李璧如	7471																																0	5806	1665						
242	0010802223	心理勵志	蔡康永的情商課	蔡康永	56354																																0	16171	28557	7221	4405				
243	0010803898	其他	成為這樣的我	蜜雪兒．歐巴馬	8946																																0	5433	3513						
244	0010809042	其他	教養的真相	王宏哲	10032																																	1371	5564	3097					
245	0010809077	商業理財	全聯	謝其濬	10819																																	1769	8487	563					
246	0010810203	商業理財	掌握市場週期	霍華．馬克斯	7374																																	0	5481	1893					
247	0010810672	其他	2019唐綺陽星座運勢大解析	唐綺陽	11294																																	0	10917	377					
248	0010814101	生活旅遊	曼巴精神	柯比．布萊恩	11895																																					68	11368	459	
249	0010815755	其他	我不是「呷教」的和尚	星雲大師	15884																																	0	10169	5478	237				
250	0010816896	商業理財	故事課1	許榮哲	16077																																		351	6330	5223	4173			
251	0010818168	其他	你的善意，是孩子的光	神老師&神媽咪（沈雅琪）	8457																																		0	6646	1811				
252	0010819027	心理勵志	我決定我是誰	鍾明軒	8057																																		0	5758	2299				
253	0010819143	其他	蝴蝶朵朵	幸佳慧	9388																																				2574	5729	1085		
254	0010819413	文學小說	二常公園	張西	6210																																		0	5381	829				
255	0010820051	生活旅遊	阿芳的新三杯麵粉	蔡季芳	5604																																		0	4886	718				
256	0010821984	心理勵志	陪伴，是世上最奢侈的禮物	Peter Su	7640																																		0	5604	2036				
257	0010822522	商業理財	原子習慣	詹姆斯．克利爾	59308																																			2315	7494	11312	13327	12664	12196
258	0010824151	商業理財	我用1檔ETF存自己的18%	陳重銘	14587																																			2707	8758	3122			
259	0010825446	生活旅遊	代謝力UP減醣好好	娜塔	14258																																			1647	8285	4326			
260	0010827891	其他	新制多益NEW TOEIC聽力	Hackers Academia	3484																																								3484
261	0010828659	其他	後背包的初心	蔡其昌/林靜宜	8058																																			0	8023	35			
262	0010828723	心理勵志	離開時，以我喜歡的樣子	樹木希林	7603																																			0	5369	2234			
263	0010830932	其他	生死之間	柯文哲	7129																																			0	5427	1702			
264	0010832494	其他	天氣之子	新海誠	5815																																			0	5576	239			
265	0010834773	心理勵志	比句點更悲傷	大師兄	8670																																				398	6485	1787		
266	0010834788	商業理財	鯨吞億萬	湯姆．萊特等	8469																																				185	6048	2236		
267	0010835976	商業理財	為什麼你的退休金只有別人的一半？	闕又上	8717																																				0	6669	2048		
268	0010836474	心理勵志	蔡康永的情商課2	蔡康永	18492																																				0	9684	6445	2363	
269	0010837858	商業理財	財務自由的人生	楊應超	8099																																				0	6762	1337		
270	0010840659	其他	勇敢層級	紫嚴導師	12687																																				0	10429	2258		
271	0010842429	心理勵志	ROLAND　我，和我以外的。	ROLAND	11156																																					0	9422	1734	
272	0010843448	商業理財	我畢業五年，用ETF賺到400萬	PG財經筆記	13942																																					228	9805	3909	
273	0010845024	心理勵志	這世界很煩，但你要很可愛	萬特特等	28893																																					0	16050	9904	2939
